emoji,name,name_emotion,name_emotion_vec
🧚‍♀️,woman fairy,neutral,"[0.005564526189118624, 0.0026860726065933704, 0.003288168925791979, 0.006942801643162966, 0.01064507570117712, 0.001073249033652246, 0.002941735554486513, 0.0022084424272179604, 0.0016748759662732482, 0.003539582947269082, 0.002810131525620818, 0.0032373634167015553, 0.0009748957236297429, 0.003866172395646572, 0.001992840552702546, 0.0010801417520269752, 0.0006059884908609092, 0.00270245224237442, 0.0022719642147421837, 0.0004469567211344838, 0.0018073983956128359, 0.0005415463238023221, 0.004883945919573307, 0.00040410590008832514, 0.00041181454434990883, 0.002447517355903983, 0.0016696680104359984, 0.9709178805351257]"
🧚🏻‍♀️,woman fairy: light skin tone,neutral,"[0.006490299012511969, 0.002314148237928748, 0.00216201925650239, 0.005067606456577778, 0.016490835696458817, 0.001084600342437625, 0.0029165581800043583, 0.0019712913781404495, 0.0015744945267215371, 0.0031731927301734686, 0.0022658039815723896, 0.0030896859243512154, 0.0008321877103298903, 0.0030512127559632063, 0.0018948004581034184, 0.0011160530848428607, 0.0005556594696827233, 0.0021355978678911924, 0.002506594406440854, 0.00041390929254703224, 0.002125847153365612, 0.000521212350577116, 0.006343088578432798, 0.0003968608798459172, 0.0004830778343603015, 0.00236727693118155, 0.0012890704674646258, 0.9692012071609497]"
🧚🏼‍♀️,woman fairy: medium-light skin tone,neutral,"[0.006264070514589548, 0.0018545645289123058, 0.0019517936743795872, 0.005118673201650381, 0.0192203801125288, 0.001075850217603147, 0.002414918038994074, 0.001459725433960557, 0.0013140469091013074, 0.003193591022863984, 0.002528802026063204, 0.002991763409227133, 0.0007911951979622245, 0.0023381917271763086, 0.001962686888873577, 0.0012105578789487481, 0.0005209853406995535, 0.0017256438732147217, 0.0019688995089381933, 0.00040984241059049964, 0.002177041955292225, 0.0004918557242490351, 0.007281870115548372, 0.0004085286636836827, 0.00047865184023976326, 0.002404364524409175, 0.001111985882744193, 0.9664808511734009]"
🧚🏽‍♀️,woman fairy: medium skin tone,neutral,"[0.006624420173466206, 0.0021052020601928234, 0.0021822741255164146, 0.005107408855110407, 0.016662023961544037, 0.001142579596489668, 0.0027177240699529648, 0.001853523193858564, 0.001680949004366994, 0.0032649359200149775, 0.0022709104232490063, 0.0031515273731201887, 0.0008001301903277636, 0.0031449864618480206, 0.0020467559807002544, 0.0011615720577538013, 0.0005785140092484653, 0.0021605684887617826, 0.0026227575726807117, 0.0004353336989879608, 0.0021705094259232283, 0.0005403310642577708, 0.006112686358392239, 0.0004121371603105217, 0.00048387187416665256, 0.0025539230555295944, 0.0012978492304682732, 0.9689610600471497]"
🧚🏾‍♀️,woman fairy: medium-dark skin tone,neutral,"[0.006632526870816946, 0.0017072001937776804, 0.001573548885062337, 0.0042681023478507996, 0.0232363510876894, 0.0009634798625484109, 0.0027053786907345057, 0.001616494613699615, 0.001260321238078177, 0.002867140807211399, 0.002259338740259409, 0.0028019752353429794, 0.0007090447470545769, 0.00234162132255733, 0.0018383406568318605, 0.0011953776702284813, 0.0004708170017693192, 0.0016655337531119585, 0.0021541037131100893, 0.00038195549859665334, 0.002189591061323881, 0.00047221058048307896, 0.007956776767969131, 0.00039496345561929047, 0.0004477230249904096, 0.0021461546421051025, 0.001099962741136551, 0.9627055525779724]"
🧚🏿‍♀️,woman fairy: dark skin tone,neutral,"[0.00627485103905201, 0.0019067327957600355, 0.0018115979619324207, 0.0046117124147713184, 0.020424695685505867, 0.0009660513023845851, 0.003184184432029724, 0.0020799003541469574, 0.0012921527959406376, 0.002890639239922166, 0.002117311581969261, 0.0029668232891708612, 0.0007663947180844843, 0.00249695242382586, 0.0018645134987309575, 0.001065099611878395, 0.0004991097957827151, 0.0017271164106205106, 0.0022664344869554043, 0.00038484347169287503, 0.002064713276922703, 0.0004638841492123902, 0.007594519294798374, 0.00037024501943960786, 0.00043987922254018486, 0.002161989687010646, 0.0012426208704710007, 0.9651144742965698]"
🧛,vampire,neutral,"[0.005600128322839737, 0.0027913274243474007, 0.0032657913397997618, 0.0063491868786513805, 0.014670324511826038, 0.0009538170415908098, 0.001678776228800416, 0.0013385816710069776, 0.0018153147539123893, 0.00292555196210742, 0.0022731944918632507, 0.0046465122140944, 0.0009535558056086302, 0.004349044058471918, 0.003281165612861514, 0.0009469548240303993, 0.0006075990968383849, 0.002558185486122966, 0.002773112617433071, 0.00045299221528694034, 0.0017562254797667265, 0.0006022060406394303, 0.005909634754061699, 0.000429404666647315, 0.0003495270211715251, 0.002649182453751564, 0.001736711012199521, 0.9585248827934265]"
🧛🏻,vampire: light skin tone,neutral,"[0.006073591765016317, 0.0020904657430946827, 0.0023553608916699886, 0.005182844121009111, 0.022267594933509827, 0.0012013213708996773, 0.001813804148696363, 0.0012278810609132051, 0.001477444777265191, 0.0028029188979417086, 0.0023163172882050276, 0.0034610347356647253, 0.0007472488796338439, 0.0025853319093585014, 0.0021522431634366512, 0.000991307431831956, 0.0005194078548811376, 0.0019853964913636446, 0.0027145284693688154, 0.00038348149973899126, 0.0020336660090833902, 0.0005171546363271773, 0.006535563617944717, 0.00041907542617991567, 0.0004157029907219112, 0.0023472949396818876, 0.0009835491655394435, 0.963029682636261]"
🧛🏼,vampire: medium-light skin tone,neutral,"[0.0057617980055511, 0.001947894343174994, 0.0026212630327790976, 0.005462294444441795, 0.023379022255539894, 0.0013565851841121912, 0.0013795391423627734, 0.0010573257459327579, 0.0017690673703327775, 0.0027960683219134808, 0.002279797801747918, 0.00379723752848804, 0.0007096934132277966, 0.0026848812121897936, 0.00216487399302423, 0.0009292441536672413, 0.0005220742896199226, 0.0020354483276605606, 0.003465477842837572, 0.0003616841568145901, 0.0020933132618665695, 0.0005204426124691963, 0.0058126142248511314, 0.00042495422530919313, 0.0004064246895723045, 0.0024548324290663004, 0.0009264142718166113, 0.9605420827865601]"
🧛🏽,vampire: medium skin tone,neutral,"[0.006474277935922146, 0.0019718955736607313, 0.0023973342031240463, 0.0050804950296878815, 0.022467246279120445, 0.001175862504169345, 0.001663934555836022, 0.0011708970414474607, 0.0015120821772143245, 0.002885433379560709, 0.0022251203190535307, 0.003559903474524617, 0.0007303502643480897, 0.0026608114130795, 0.002189876511693001, 0.001010793261229992, 0.0005386339034885168, 0.0020147773902863264, 0.0030243205837905407, 0.00036885112058371305, 0.002027037786319852, 0.0005333590088412166, 0.006334598176181316, 0.00042164261685684323, 0.0004115560732316226, 0.0024895190726965666, 0.0010156129719689488, 0.9613248109817505]"
🧛🏾,vampire: medium-dark skin tone,neutral,"[0.006262165028601885, 0.0020195115357637405, 0.002177812857553363, 0.004808812402188778, 0.025860197842121124, 0.0011780979111790657, 0.0015591832343488932, 0.001159826759248972, 0.001610959297977388, 0.0026586512103676796, 0.0020779259502887726, 0.003627278609201312, 0.0006924706976860762, 0.002662781160324812, 0.0020684797782450914, 0.0009206623071804643, 0.0005011183675378561, 0.0019758830312639475, 0.0033916619140654802, 0.00035381061024963856, 0.002074151299893856, 0.0005151618388481438, 0.0065901800990104675, 0.0004186520236544311, 0.0003963837225455791, 0.0023149619810283184, 0.0009595686569809914, 0.958930253982544]"
🧛🏿,vampire: dark skin tone,neutral,"[0.005775020457804203, 0.0019525439711287618, 0.002359805628657341, 0.005382915958762169, 0.023731432855129242, 0.0010792382527142763, 0.0018853022484108806, 0.001308908686041832, 0.001355486805550754, 0.0026907988358289003, 0.002178346738219261, 0.0036437739618122578, 0.000752828607801348, 0.00243897782638669, 0.0022283897269517183, 0.0008856331114657223, 0.0004945018445141613, 0.0017573892837390304, 0.002478676848113537, 0.0003723315894603729, 0.0019363786559551954, 0.00048699104809202254, 0.007075084839016199, 0.000390501314541325, 0.0003777369565796107, 0.002254350343719125, 0.0010237961541861296, 0.9604101181030273]"
🧛‍♂️,man vampire,neutral,"[0.005151171237230301, 0.0023273362312465906, 0.003974658902734518, 0.007508530281484127, 0.01134860422462225, 0.0011418990325182676, 0.002287190640345216, 0.001612648251466453, 0.0013977241469547153, 0.0034546658862382174, 0.0030564169865101576, 0.0036599228624254465, 0.0010309164645150304, 0.0030510341748595238, 0.0025493381544947624, 0.00123710953630507, 0.0006531563703902066, 0.002271860372275114, 0.0018142046174034476, 0.0004609496099874377, 0.00173518480733037, 0.0005368448328226805, 0.004889691714197397, 0.0004087869601789862, 0.00044936404447071254, 0.002973348367959261, 0.001391342026181519, 0.9681270718574524]"
🧛🏻‍♂️,man vampire: light skin tone,neutral,"[0.006497147027403116, 0.0018756543286144733, 0.00221470114775002, 0.00500871054828167, 0.01879940927028656, 0.0010562962852418423, 0.0026172217912971973, 0.0017553536454215646, 0.001224795007146895, 0.0031768856570124626, 0.002678344026207924, 0.003120443085208535, 0.0008012574398890138, 0.00226037111133337, 0.0019434690475463867, 0.001190470065921545, 0.000542951631359756, 0.0016696173697710037, 0.0020651035010814667, 0.00037372452788986266, 0.0019173813052475452, 0.00046274805208668113, 0.006265019997954369, 0.0003696375642903149, 0.0004706069885287434, 0.002539444714784622, 0.0010381769388914108, 0.966008722782135]"
🧛🏼‍♂️,man vampire: medium-light skin tone,neutral,"[0.006680843885987997, 0.0016672774218022823, 0.002078830963000655, 0.005014087073504925, 0.021463241428136826, 0.00110161944758147, 0.0021633224096149206, 0.0014316801680251956, 0.001257978961803019, 0.0031100609339773655, 0.002643229905515909, 0.00319826346822083, 0.0007723582675680518, 0.0021507160272449255, 0.001946518081240356, 0.0012165282387286425, 0.0005263042403385043, 0.0016007244121283293, 0.002076816977933049, 0.00038314549601636827, 0.002026652218773961, 0.00047868333058431745, 0.006619574036449194, 0.0003951792314182967, 0.00047523758257739246, 0.00254547200165689, 0.0009695894550532103, 0.963880181312561]"
🧛🏽‍♂️,man vampire: medium skin tone,neutral,"[0.007551252841949463, 0.0017179413698613644, 0.001976913074031472, 0.004473989829421043, 0.02158048190176487, 0.0010499160271137953, 0.0024161748588085175, 0.001662996830418706, 0.001280172378756106, 0.003039055969566107, 0.0024429059121757746, 0.0030302051454782486, 0.0007102391100488603, 0.0024080045986920595, 0.0019307212205603719, 0.001209055189974606, 0.0005203213077038527, 0.001717131119221449, 0.0023861967492848635, 0.00037170082214288414, 0.0019742974545806646, 0.00048540611169300973, 0.006232018116861582, 0.00038240422145463526, 0.0004421552293933928, 0.0024450330529361963, 0.0010390685638412833, 0.9635989665985107]"
🧛🏾‍♂️,man vampire: medium-dark skin tone,neutral,"[0.007185918278992176, 0.001572564011439681, 0.0016467856476083398, 0.004128845874220133, 0.026758568361401558, 0.0010118087520822883, 0.0023534244392067194, 0.0015221156645566225, 0.0012308470904827118, 0.0028297777753323317, 0.0023243774194270372, 0.002990190638229251, 0.0006766027072444558, 0.002090957248583436, 0.0018052610103040934, 0.0011747528333216906, 0.0004781098978128284, 0.0015208696713671088, 0.0023442842066287994, 0.0003588705149013549, 0.002086823107674718, 0.0004583299742080271, 0.007494343910366297, 0.00038732271059416234, 0.0004537809290923178, 0.0023269355297088623, 0.0009407816105522215, 0.9592758417129517]"
🧛🏿‍♂️,man vampire: dark skin tone,neutral,"[0.007011828478425741, 0.0016286233440041542, 0.0018212846480309963, 0.004211118444800377, 0.02355485036969185, 0.0009732275502756238, 0.002884672023355961, 0.0019688988104462624, 0.0011732158018276095, 0.002889301860705018, 0.00223972974345088, 0.002986729610711336, 0.0007147231372073293, 0.0021654549054801464, 0.001870448817498982, 0.0011113950749859214, 0.0005022964905947447, 0.0014979572733864188, 0.0023544668219983578, 0.000352735398337245, 0.001958203036338091, 0.0004394489515107125, 0.007311109919101, 0.0003536883450578898, 0.00044924180838279426, 0.0023416792973876, 0.0010889859404414892, 0.9612627029418945]"
🧛‍♀️,woman vampire,neutral,"[0.006540271453559399, 0.002406334038823843, 0.0031890706159174442, 0.006222024094313383, 0.014053448103368282, 0.0010163824772462249, 0.0022718789987266064, 0.0015709020663052797, 0.0013932500733062625, 0.0034532002173364162, 0.0029241282027214766, 0.00382631691172719, 0.0010186111321672797, 0.0034600526560097933, 0.002672206610441208, 0.001141903456300497, 0.0006596887833438814, 0.002578707877546549, 0.002323094056919217, 0.0004600023676175624, 0.0016038068570196629, 0.0006023762398399413, 0.0056375497952103615, 0.0004438803589437157, 0.00040870942757464945, 0.002864715177565813, 0.0014548315666615963, 0.9668796062469482]"
🧛🏻‍♀️,woman vampire: light skin tone,neutral,"[0.007249525282531977, 0.0019006632501259446, 0.0018654171144589782, 0.004793656524270773, 0.02350502274930477, 0.0009429123601876199, 0.002407309366390109, 0.0015467832563444972, 0.001140376552939415, 0.0032179520931094885, 0.002564196940511465, 0.0033804932609200478, 0.0008314754813909531, 0.0021454666275531054, 0.001992207020521164, 0.0010612321784719825, 0.0005111725768074393, 0.0016189281595870852, 0.0021307403221726418, 0.00037661578971892595, 0.0018943252507597208, 0.0004886576207354665, 0.0075508891604840755, 0.0003919242590200156, 0.00045069694169797003, 0.002438418800011277, 0.0010188217274844646, 0.9623977541923523]"
🧛🏼‍♀️,woman vampire: medium-light skin tone,neutral,"[0.00720912916585803, 0.0016289441846311092, 0.0017079892568290234, 0.004667751491069794, 0.02640215866267681, 0.0009720523958094418, 0.0020884869154542685, 0.001296796603128314, 0.0011273275595158339, 0.003133191028609872, 0.002535336883738637, 0.003306739963591099, 0.0007802997715771198, 0.0019408254884183407, 0.0019615008495748043, 0.001119541935622692, 0.0004993405309505761, 0.0015189984114840627, 0.0020172044169157743, 0.0003804677107837051, 0.002006456023082137, 0.00048445595894008875, 0.008209786377847195, 0.0004150232707615942, 0.0004558650543913245, 0.002495653461664915, 0.0009507359354756773, 0.9590727090835571]"
🧛🏽‍♀️,woman vampire: medium skin tone,neutral,"[0.008136040531098843, 0.001776000834070146, 0.001835984061472118, 0.004434973932802677, 0.024638576433062553, 0.0009417739347554743, 0.0022428531665354967, 0.0015249839052557945, 0.001210607006214559, 0.0030538279097527266, 0.002374683739617467, 0.0032878639176487923, 0.0007398369489237666, 0.0023761119227856398, 0.0019415018614381552, 0.0011147313052788377, 0.000507140823174268, 0.001759175444021821, 0.0024839940015226603, 0.00036635721335187554, 0.0018913804087787867, 0.0005109275807626545, 0.006895036902278662, 0.0004003283684141934, 0.00042207431397400796, 0.0023953185882419348, 0.0010568307479843497, 0.9605674743652344]"
🧛🏾‍♀️,woman vampire: medium-dark skin tone,neutral,"[0.007711896672844887, 0.0015594467986375093, 0.0014435957418754697, 0.0039883991703391075, 0.03238715976476669, 0.0009134866995736957, 0.0022441595792770386, 0.0013858810998499393, 0.001136362669058144, 0.0028624061960726976, 0.0022279073018580675, 0.0031188372522592545, 0.0006843038136139512, 0.0018745467532426119, 0.0017669607186689973, 0.0011021154932677746, 0.0004637594392988831, 0.001458625541999936, 0.0023311034310609102, 0.00035143023706041276, 0.0020638215355575085, 0.0004660446138586849, 0.009058748371899128, 0.00040627032285556197, 0.00044223867007531226, 0.0023452488239854574, 0.0009133261046372354, 0.9532658457756042]"
🧛🏿‍♀️,woman vampire: dark skin tone,neutral,"[0.007796985097229481, 0.0016241404227912426, 0.0016073847655206919, 0.004189307801425457, 0.02954098954796791, 0.0008650036761537194, 0.002749689854681492, 0.001756424317136407, 0.001110599609091878, 0.0030219878535717726, 0.002150478307157755, 0.0034873278345912695, 0.0007604752900078893, 0.0019267380703240633, 0.002017595339566469, 0.0009510184754617512, 0.0004916337784379721, 0.0014006663113832474, 0.002431869274005294, 0.0003694252809509635, 0.0019176570931449533, 0.0004560054512694478, 0.008904850110411644, 0.0003713417099788785, 0.00043842277955263853, 0.0024778542574495077, 0.0010532180313020945, 0.954541802406311]"
🧜,merperson,neutral,"[0.0032243183813989162, 0.0017100867116823792, 0.003074693027883768, 0.006765862926840782, 0.013686548918485641, 0.0012112222611904144, 0.0029931487515568733, 0.0016715005040168762, 0.001296104397624731, 0.0032296115532517433, 0.004040479194372892, 0.0022813482210040092, 0.0006904792971909046, 0.0019986149854958057, 0.001638377201743424, 0.0011099926196038723, 0.0005101278657093644, 0.0018748689908534288, 0.0013416423462331295, 0.0003886549675371498, 0.0018596178852021694, 0.00035862394724972546, 0.005281724967062473, 0.00035573082277551293, 0.00038039626087993383, 0.0026288193184882402, 0.000900357379578054, 0.969385027885437]"
🧜🏻,merperson: light skin tone,neutral,"[0.0055087958462536335, 0.0018912680679932237, 0.0022192534524947405, 0.004661426413804293, 0.01765894889831543, 0.0013331350637599826, 0.0028880247846245766, 0.0017209582729265094, 0.0013339599827304482, 0.0030418888200074434, 0.002719074720516801, 0.0025621012318879366, 0.0007572572212666273, 0.0023983651772141457, 0.002053232630714774, 0.001403273199684918, 0.000615114695392549, 0.00208278838545084, 0.001971648773178458, 0.0004425113438628614, 0.0020657896529883146, 0.0004846388765145093, 0.0064926971681416035, 0.0004338053404353559, 0.0005266660591587424, 0.0029091418255120516, 0.001020389492623508, 0.9680882692337036]"
🧜🏼,merperson: medium-light skin tone,neutral,"[0.005670185200870037, 0.001763565349392593, 0.0021261190995573997, 0.004733912646770477, 0.01933233067393303, 0.0014287083176895976, 0.002488848753273487, 0.0014288034290075302, 0.0013437374727800488, 0.00304922042414546, 0.0028027587104588747, 0.0026300023309886456, 0.0007478924817405641, 0.0022404161281883717, 0.0021175758447498083, 0.0014067146694287658, 0.0005992194055579603, 0.0020107964519411325, 0.0019536232575774193, 0.0004609245515894145, 0.002176928101107478, 0.0004956261836923659, 0.006736832205206156, 0.0004632186610251665, 0.0005368486745283008, 0.0028961626812815666, 0.000950786576140672, 0.967285692691803]"
🧜🏽,merperson: medium skin tone,neutral,"[0.005390694830566645, 0.001784444903023541, 0.002198265166953206, 0.004582545254379511, 0.01817111112177372, 0.0013981168158352375, 0.0029991341289132833, 0.0016889795660972595, 0.0013591634342446923, 0.0029493269976228476, 0.0026871419977396727, 0.002485500881448388, 0.0007189805037342012, 0.002471678890287876, 0.0021354020573198795, 0.0014139572158455849, 0.0006034591933712363, 0.002107623964548111, 0.002002342138439417, 0.00046209958964027464, 0.002184658544138074, 0.0004865706723649055, 0.006406218744814396, 0.0004440491902641952, 0.0005220245220698416, 0.0028004541527479887, 0.0010415700962767005, 0.9683188199996948]"
🧜🏾,merperson: medium-dark skin tone,neutral,"[0.005917045287787914, 0.0017160401912406087, 0.0019086884567514062, 0.004280018620193005, 0.021660657599568367, 0.0012985403882339597, 0.0026654519606381655, 0.0014949620235711336, 0.0013375666458159685, 0.0028797511477023363, 0.002593745943158865, 0.002560005057603121, 0.0007054267334751785, 0.0023246805649250746, 0.002040424384176731, 0.0013598859077319503, 0.0005665251519531012, 0.002017876598984003, 0.002148738829419017, 0.0004379861056804657, 0.0021368800662457943, 0.0004910431453026831, 0.007082425057888031, 0.0004544248222373426, 0.0005137891857884824, 0.0026920277159661055, 0.0009515247656963766, 0.9654927253723145]"
🧜🏿,merperson: dark skin tone,neutral,"[0.0048864674754440784, 0.0017194991232827306, 0.0021991608664393425, 0.004775474313646555, 0.018330445513129234, 0.0012688718270510435, 0.003212606767192483, 0.0017891250317916274, 0.001270268578082323, 0.002893599681556225, 0.0027014040388166904, 0.0026054393965750933, 0.0007488545961678028, 0.0021826177835464478, 0.002084192354232073, 0.0013706041499972343, 0.0005772199365310371, 0.00186918955296278, 0.0018513464601710439, 0.00042809866135939956, 0.002052745083346963, 0.00044710442307405174, 0.006961955688893795, 0.0004114221374038607, 0.0005046816659159958, 0.0026846614200621843, 0.0010181962279602885, 0.967181384563446]"
🧜‍♂️,merman,neutral,"[0.0038953626062721014, 0.0017034190241247416, 0.0032096151262521744, 0.007366202771663666, 0.013732442632317543, 0.0012119371676817536, 0.002391435205936432, 0.00143332255538553, 0.0012289381120353937, 0.003389539895579219, 0.004149562679231167, 0.002507039112970233, 0.0007378896698355675, 0.0019221855327486992, 0.0016190229216590524, 0.001340423128567636, 0.0005119286361150444, 0.0017610304057598114, 0.0013572211610153317, 0.0003650112194009125, 0.0018905829638242722, 0.0003948845842387527, 0.004960778634995222, 0.0003684735274873674, 0.00041308271465823054, 0.0026128266472369432, 0.0008806893019936979, 0.9685595631599426]"
🧜🏻‍♂️,merman: light skin tone,neutral,"[0.0063973828218877316, 0.001887961057946086, 0.002519143046811223, 0.005341480020433664, 0.01899883523583412, 0.001358982757665217, 0.0021937431301921606, 0.0013408031081780791, 0.0012880942085757852, 0.003276298986747861, 0.003249737899750471, 0.002798128640279174, 0.0007674009539186954, 0.0021290055010467768, 0.0018681554356589913, 0.0014263652265071869, 0.000584468012675643, 0.0019560223445296288, 0.0020020019728690386, 0.00039690957055427134, 0.002048216527327895, 0.0005163714522495866, 0.005930805113166571, 0.00043513294076547027, 0.0005345430690795183, 0.002873155055567622, 0.0008556095417588949, 0.9676589965820312]"
🧜🏼‍♂️,merman: medium-light skin tone,neutral,"[0.00619871262460947, 0.0018182591302320361, 0.0024714048486202955, 0.0055055259726941586, 0.019478343427181244, 0.0015195842133834958, 0.0020751541014760733, 0.0011937995441257954, 0.0013754232786595821, 0.00351182883605361, 0.0034958291798830032, 0.0030343986582010984, 0.0008279560715891421, 0.002003852976486087, 0.0020480528473854065, 0.0014829166466370225, 0.0006260163499973714, 0.0018988088704645634, 0.002047330839559436, 0.00044637511018663645, 0.0022643059492111206, 0.000534122867975384, 0.006310500204563141, 0.0004778516013175249, 0.0006099278689362109, 0.003193751908838749, 0.0008473178022541106, 0.9673061966896057]"
🧜🏽‍♂️,merman: medium skin tone,neutral,"[0.006066759116947651, 0.0018412926001474261, 0.002516884356737137, 0.005349045153707266, 0.018497256562113762, 0.00144983793143183, 0.0023495082277804613, 0.001322050578892231, 0.0013654298381879926, 0.0033617934677749872, 0.0032364418730139732, 0.002974027069285512, 0.0008063482819125056, 0.0021844746079295874, 0.002149817533791065, 0.0014852853491902351, 0.000623381813056767, 0.0019923902582377195, 0.0020604294259101152, 0.0004462072975002229, 0.002208938356488943, 0.0005340523202903569, 0.0061048781499266624, 0.0004640641564037651, 0.0005678590969182551, 0.0030647728126496077, 0.0009225765243172646, 0.9680497646331787]"
🧜🏾‍♂️,merman: medium-dark skin tone,neutral,"[0.006357952952384949, 0.0017960629193112254, 0.002202119678258896, 0.004927261266857386, 0.02195245586335659, 0.0014118426479399204, 0.002206948818638921, 0.0012385407462716103, 0.001390228164382279, 0.0032558816019445658, 0.003176168305799365, 0.002975158393383026, 0.0007845086511224508, 0.0020554850343614817, 0.001988990232348442, 0.0014402075903490186, 0.0005959478439763188, 0.0019169790903106332, 0.00227650860324502, 0.00042543013114482164, 0.00223027472384274, 0.0005277182790450752, 0.006573795806616545, 0.00047051211004145443, 0.0005834614275954664, 0.002969596069306135, 0.0008379055070690811, 0.965723991394043]"
🧜🏿‍♂️,merman: dark skin tone,neutral,"[0.006089504808187485, 0.0017273254925385118, 0.0022910337429493666, 0.00494148675352335, 0.02130786143243313, 0.001297247945331037, 0.0023710636887699366, 0.001384213101118803, 0.0012149516260251403, 0.003077123314142227, 0.0030672536231577396, 0.00276739033870399, 0.0007649376057088375, 0.0020910166203975677, 0.0019297447288408875, 0.0014845965197309852, 0.0005718846805393696, 0.0018616270972415805, 0.0020220514852553606, 0.00039327103877440095, 0.002068247413262725, 0.0005107707693241537, 0.0066580865532159805, 0.00043543436913751066, 0.0005285332445055246, 0.002705591032281518, 0.0008993225055746734, 0.9659063816070557]"
🧜‍♀️,mermaid,neutral,"[0.004759164527058601, 0.001609586295671761, 0.0025040623731911182, 0.0051514324732124805, 0.018837716430425644, 0.0011748262913897634, 0.0025704167783260345, 0.0013998447684571147, 0.0013424436328932643, 0.0028577076736837626, 0.002928778063505888, 0.0022699697874486446, 0.0007002177881076932, 0.0028124789241701365, 0.0016511132707819343, 0.0010861725313588977, 0.0004865876107942313, 0.0023119200486689806, 0.0024233944714069366, 0.0003665446420200169, 0.0019187505822628736, 0.00048348301788792014, 0.0060437628999352455, 0.0004045235109515488, 0.00041457213228568435, 0.002084419596940279, 0.0009739887318573892, 0.9668817520141602]"
🧜🏻‍♀️,mermaid: light skin tone,neutral,"[0.0053200195543468, 0.0019079209305346012, 0.0024379384703934193, 0.0055480459704995155, 0.01937444694340229, 0.0012141815386712551, 0.0024233448784798384, 0.0014298836467787623, 0.0011971445055678487, 0.0030307902488857508, 0.0028003943152725697, 0.002881689229980111, 0.0007808770751580596, 0.0022689925972372293, 0.0018858525436371565, 0.0011254561832174659, 0.0005271798581816256, 0.001900350209325552, 0.001936180517077446, 0.00038865514216013253, 0.0020075086504220963, 0.0004772964457515627, 0.00626202579587698, 0.0004002009518444538, 0.0004670761991292238, 0.002441893797367811, 0.0009197609615512192, 0.9674614071846008]"
🧜🏼‍♀️,mermaid: medium-light skin tone,neutral,"[0.005256147589534521, 0.0017641540616750717, 0.002296291058883071, 0.0053693074733018875, 0.02076314203441143, 0.0012570297112688422, 0.002239501802250743, 0.0012413682416081429, 0.001166164642199874, 0.003117920830845833, 0.002952674636617303, 0.0027530088555067778, 0.0007772985263727605, 0.002127014799043536, 0.001907384255900979, 0.0011957125971093774, 0.0005322361248545349, 0.0018643704243004322, 0.0019254825310781598, 0.00040173353045247495, 0.002061821985989809, 0.00047819127212278545, 0.006798178888857365, 0.0004254779778420925, 0.0004998110816814005, 0.002547534881159663, 0.0008831931627355516, 0.9661266207695007]"
🧜🏽‍♀️,mermaid: medium skin tone,neutral,"[0.004866022616624832, 0.0017204922623932362, 0.002453015185892582, 0.005563489161431789, 0.020176362246274948, 0.0012526125647127628, 0.0024048518389463425, 0.0013491708086803555, 0.00116360979154706, 0.0029669220093637705, 0.002843949245288968, 0.0027326741255819798, 0.0007423062925226986, 0.0021723350510001183, 0.0018408203031867743, 0.0011144168674945831, 0.000513324688654393, 0.0018521388992667198, 0.0019395964918658137, 0.000387077423511073, 0.00197815615683794, 0.0004553061444312334, 0.006198262795805931, 0.0003986941883340478, 0.0004580774693749845, 0.0024298320058733225, 0.0008716766024008393, 0.9661879539489746]"
🧜🏾‍♀️,mermaid: medium-dark skin tone,neutral,"[0.005068419501185417, 0.0017473450861871243, 0.0021691343281418085, 0.0051565575413405895, 0.022170739248394966, 0.0011752962600439787, 0.0023095025680959225, 0.0012951826211065054, 0.0011965432204306126, 0.0028695876244455576, 0.002688456093892455, 0.002729297149926424, 0.0007238071993924677, 0.002135791350156069, 0.0018064719624817371, 0.0011075774673372507, 0.0004894181620329618, 0.001787920598872006, 0.0020211278460919857, 0.00037396419793367386, 0.002053325530141592, 0.00044997830991633236, 0.006782485172152519, 0.00039803568506613374, 0.00045720781781710684, 0.002321002772077918, 0.0008607049821875989, 0.9648821353912354]"
🧜🏿‍♀️,mermaid: dark skin tone,neutral,"[0.0047637782990932465, 0.0018733711913228035, 0.0023287103977054358, 0.005533548071980476, 0.019555209204554558, 0.0011247167130932212, 0.0026212576776742935, 0.0014944380382075906, 0.0011501482222229242, 0.002930413233116269, 0.0026334719732403755, 0.0028328096959739923, 0.000780811533331871, 0.0020531287882477045, 0.001929743797518313, 0.0010559975635260344, 0.0005050014588050544, 0.001679629203863442, 0.0017365870298817754, 0.00038071422022767365, 0.0020567569881677628, 0.00044092346797697246, 0.007053631357848644, 0.0003762761189136654, 0.0004501456569414586, 0.0023746713995933533, 0.0009386988822370768, 0.9662440419197083]"
🧝,elf,neutral,"[0.0053444476798176765, 0.001965930685400963, 0.0029171782080084085, 0.0075156912207603455, 0.014947169460356236, 0.0009083122713491321, 0.002297426341101527, 0.0014851338928565383, 0.0008605513139627874, 0.0034056862350553274, 0.0038973630871623755, 0.002467537997290492, 0.0007694179657846689, 0.0022853133268654346, 0.0015523266047239304, 0.0009217879851348698, 0.00042440855759195983, 0.001900075119920075, 0.0011373292654752731, 0.0003464135807007551, 0.0015909888315945864, 0.000434056855738163, 0.00552824791520834, 0.0003530071990098804, 0.0003245583502575755, 0.0020189592614769936, 0.001054245512932539, 0.9683056473731995]"
